,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
450,William & Mary,CAA,29,17,111.5,108.7,0.5703,56.2,52.3,17.4,14.5,25.6,27.4,38.7,35.1,55.8,51.0,37.8,36.1,72.0,-6.8,,,2017
451,Charlotte,CUSA,29,13,101.6,107.5,0.3434,50.5,52.3,16.1,18.3,20.3,31.0,34.0,35.6,47.5,51.7,37.5,35.8,74.1,-10.6,,,2017
452,FIU,CUSA,29,7,102.5,111.8,0.2684,49.7,53.2,19.2,16.8,29.8,28.0,28.5,36.7,50.2,52.6,32.4,36.3,66.2,-18.9,,,2017
453,Florida Atlantic,CUSA,28,10,97.7,107.5,0.2501,46.0,51.0,16.6,17.7,26.9,31.2,30.4,35.9,45.5,49.2,31.4,37.0,70.3,-14.6,,,2017
454,Louisiana Tech,CUSA,31,23,106.4,99.8,0.6767,53.4,48.0,17.7,19.4,29.2,26.2,34.6,26.9,52.0,45.8,37.1,34.7,70.0,-4.8,,,2017
455,Marshall,CUSA,34,20,109.5,108.6,0.5247,53.6,51.5,15.9,16.8,24.4,32.8,37.1,31.0,51.8,51.3,37.4,34.6,78.9,-7.4,,,2017
456,North Texas,CUSA,28,8,95.9,109.6,0.1772,47.4,50.4,18.4,17.8,26.5,31.2,34.9,35.0,47.3,49.6,31.7,34.6,71.2,-17.6,,,2017
457,Old Dominion,CUSA,31,19,99.7,96.3,0.5996,45.6,46.4,17.5,20.1,35.5,25.6,34.1,38.6,44.5,44.0,32.4,33.6,62.6,-5.7,,,2017
458,Rice,CUSA,33,23,106.3,107.4,0.4701,53.9,50.0,19.4,17.4,28.6,26.2,41.5,35.7,50.9,49.7,38.9,33.9,73.9,-6.2,,,2017
459,Southern Miss,CUSA,29,9,92.4,109.2,0.1278,45.0,52.2,18.1,16.6,22.3,25.8,29.3,33.9,45.4,49.4,29.6,37.4,66.9,-16.7,,,2017
460,UAB,CUSA,32,17,103.1,105.1,0.4449,51.3,49.8,20.0,17.3,30.0,28.1,37.7,29.4,51.3,48.8,34.1,34.2,67.8,-9.4,,,2017
461,UTEP,CUSA,31,15,100.1,102.2,0.4419,51.8,49.5,19.0,17.5,22.2,25.0,36.3,39.1,51.9,48.5,34.3,34.0,67.5,-11.6,,,2017
462,UTSA,CUSA,31,14,94.7,102.3,0.2925,42.6,49.7,18.1,17.6,32.4,24.2,36.2,37.9,43.7,48.4,26.7,34.8,69.5,-13.3,,,2017
463,Western Kentucky,CUSA,32,15,102.5,107.8,0.3572,50.1,52.3,18.0,15.8,27.3,26.7,37.2,24.7,48.5,50.4,35.4,36.8,67.5,-11.0,,,2017
464,Cleveland St.,Horz,30,9,94.9,102.4,0.2941,46.3,52.1,18.8,22.3,28.9,32.7,29.6,41.8,46.5,51.7,30.7,35.3,67.2,-15.7,,,2017
465,Detroit,Horz,30,8,102.1,113.6,0.2272,50.9,56.9,19.5,19.4,26.9,31.4,38.1,48.4,48.4,57.3,37.0,37.6,73.8,-17.1,,,2017
466,Green Bay,Horz,30,18,100.8,102.8,0.44299999999999995,48.3,50.8,18.0,18.6,30.4,28.6,37.7,33.1,48.7,48.7,31.6,36.3,75.5,-7.7,,,2017
467,Illinois Chicago,Horz,34,17,100.4,106.7,0.3324,50.5,48.1,22.3,16.6,32.5,31.4,38.4,32.2,47.6,45.7,37.0,36.0,73.2,-13.3,,,2017
468,Milwaukee,Horz,34,11,98.9,107.8,0.2696,50.8,53.9,18.1,17.5,24.5,26.8,27.4,32.3,49.8,54.2,34.9,35.7,63.8,-17.8,,,2017
469,Oakland,Horz,32,25,103.8,99.2,0.6289,51.2,46.3,18.4,18.9,29.3,29.1,37.7,28.5,51.9,45.3,33.3,32.2,73.4,-3.6,,,2017
470,Valparaiso,Horz,32,24,104.5,99.9,0.6272,50.1,47.4,18.2,17.9,30.4,26.8,36.9,32.4,50.5,46.4,33.0,32.8,68.7,-2.0,,,2017
471,Wright St.,Horz,30,20,105.3,105.4,0.4963,52.0,52.0,20.4,19.5,29.4,26.5,38.0,37.1,49.4,52.0,37.2,34.8,70.5,-6.8,,,2017
472,Youngstown St.,Horz,32,13,101.0,112.8,0.2204,49.1,53.0,16.0,16.4,26.3,31.4,25.9,29.1,49.0,53.5,32.8,34.6,73.1,-15.4,,,2017
473,Brown,Ivy,28,13,102.5,113.1,0.2434,50.7,57.7,19.6,21.2,27.1,29.7,44.5,39.1,49.0,58.6,35.6,37.4,72.7,-11.6,,,2017
474,Columbia,Ivy,26,11,100.0,105.8,0.3433,49.7,52.0,18.4,20.2,27.9,31.8,29.1,34.8,47.1,50.4,36.1,36.1,70.3,-11.1,,,2017
475,Cornell,Ivy,28,8,98.9,107.4,0.2791,52.1,51.9,20.1,15.5,22.0,27.2,29.5,31.8,53.6,51.1,33.3,35.6,71.4,-14.6,,,2017
476,Dartmouth,Ivy,27,7,98.8,111.4,0.2015,49.9,53.3,21.7,15.8,27.7,27.0,33.8,30.7,48.1,53.7,35.2,35.1,68.7,-14.7,,,2017
477,Harvard,Ivy,26,18,105.7,101.4,0.6165,52.3,47.4,19.8,18.4,29.6,29.6,32.3,39.5,51.2,47.8,35.9,31.2,68.1,-5.1,,,2017
478,Penn,Ivy,28,13,102.0,101.6,0.5106,51.6,48.8,18.9,20.1,27.6,29.4,26.0,33.6,52.2,45.3,33.9,36.0,68.1,-8.9,,,2017
479,Yale,Ivy,28,18,105.4,105.0,0.5094,52.3,49.7,19.3,17.0,31.2,28.5,33.9,26.3,51.8,49.6,35.5,33.2,69.2,-4.8,,,2017
480,Canisius,MAAC,34,18,106.9,109.5,0.4309,53.1,54.5,18.2,20.8,30.2,32.2,30.9,33.8,51.4,56.0,37.1,34.3,70.8,-9.0,,,2017
481,Fairfield,MAAC,31,16,98.0,102.2,0.3818,51.3,49.5,18.6,17.5,24.3,28.2,27.2,32.0,52.0,49.4,33.5,33.1,70.7,-9.1,,,2017
482,Manhattan,MAAC,32,10,95.7,107.1,0.2159,47.4,51.6,22.6,20.0,30.8,30.1,41.0,53.4,46.3,48.1,32.9,39.2,70.7,-15.7,,,2017
483,Marist,MAAC,32,8,100.8,112.6,0.2183,49.9,52.6,18.4,15.7,21.6,32.9,37.9,37.0,49.9,50.5,33.3,37.7,68.6,-17.8,,,2017
484,Monmouth,MAAC,34,27,106.7,99.5,0.6915,50.8,47.0,16.7,19.5,29.7,30.0,37.3,35.7,47.6,45.1,37.3,33.4,73.8,0.5,,,2017
485,Niagara,MAAC,33,10,99.4,109.1,0.2566,47.6,50.5,17.9,16.0,30.5,30.7,33.6,30.8,44.0,48.1,36.6,36.6,70.3,-17.9,,,2017
486,Quinnipiac,MAAC,31,10,100.7,112.7,0.2152,47.9,52.6,19.2,16.8,34.1,30.2,33.0,38.2,47.4,50.5,32.6,38.0,74.3,-15.5,,,2017
487,Rider,MAAC,33,18,99.9,104.5,0.3749,49.0,49.0,19.6,18.1,33.0,27.1,37.0,35.9,48.7,48.0,33.2,33.7,73.5,-10.1,,,2017
488,Saint Peter's,MAAC,36,23,102.2,95.5,0.687,51.2,48.1,17.3,20.9,25.5,25.9,33.1,29.2,47.3,48.4,38.1,31.9,62.6,-7.6,,,2017
489,Siena,MAAC,34,17,105.2,106.1,0.4764,49.9,50.3,19.7,17.2,35.5,29.3,40.0,35.5,50.2,50.0,32.7,33.9,70.0,-10.2,,,2017
490,Akron,MAC,35,27,111.1,105.4,0.6488,55.1,51.0,17.2,16.7,29.4,27.9,37.3,32.9,55.0,49.0,36.8,36.8,67.4,-1.9,,,2017
491,Ball St.,MAC,33,21,103.6,104.5,0.474,53.7,48.7,19.9,17.2,27.8,28.4,35.1,35.9,51.7,46.2,37.6,35.6,72.2,-6.8,,,2017
492,Bowling Green,MAC,31,13,99.8,105.8,0.3384,48.0,53.1,17.3,20.0,28.5,28.2,35.8,34.2,46.5,53.3,34.1,35.2,71.5,-12.9,,,2017
493,Buffalo,MAC,30,17,103.5,102.0,0.542,50.7,48.2,19.8,17.5,33.2,29.2,37.3,42.9,51.4,45.8,33.0,35.1,72.4,-8.3,,,2017
494,Central Michigan,MAC,30,16,109.8,117.8,0.3083,51.7,53.5,14.7,15.2,26.7,34.0,34.6,32.6,48.5,53.9,36.4,35.1,76.3,-10.8,,,2017
495,Eastern Michigan,MAC,29,16,105.3,104.4,0.5246,48.8,50.4,17.1,21.5,33.6,35.0,35.3,50.8,48.0,50.2,33.6,33.9,69.6,-10.2,,,2017
496,Miami OH,MAC,30,11,94.3,105.2,0.2203,48.6,51.4,20.1,20.7,24.9,31.8,37.0,40.0,49.8,50.8,30.9,34.8,70.0,-15.6,,,2017
497,Northern Illinois,MAC,29,15,98.8,101.8,0.4121,46.4,50.8,19.5,20.5,33.5,28.1,40.3,39.8,46.6,49.8,30.6,34.9,68.2,-12.1,,,2017
498,Ohio,MAC,30,20,105.5,99.4,0.6659,53.2,47.3,17.4,18.1,25.6,27.7,33.7,32.7,50.0,46.8,38.5,32.1,71.6,-6.0,,,2017
499,Toledo,MAC,33,17,107.8,104.2,0.5969,54.4,51.2,18.5,14.2,29.0,25.5,38.3,27.2,54.6,52.3,36.1,32.3,68.1,-9.6,,,2017
500,Western Michigan,MAC,31,16,105.2,105.1,0.5018,50.9,54.0,17.6,18.3,31.1,26.5,35.0,34.2,48.2,53.9,38.3,36.1,69.3,-9.2,,,2017
501,Bethune Cookman,MEAC,30,10,95.2,113.9,0.1138,46.8,53.1,17.7,19.6,31.1,35.6,28.2,40.0,45.9,54.7,32.3,33.6,69.6,-18.7,,,2017
502,Coppin St.,MEAC,30,8,91.7,116.6,0.0593,43.9,54.4,19.1,18.9,28.0,33.1,40.0,40.0,41.7,55.0,31.7,35.6,70.0,-17.8,,,2017
503,Delaware St.,MEAC,30,10,93.9,113.5,0.1015,47.8,52.3,19.6,20.3,28.5,37.2,30.1,39.1,44.7,52.6,35.1,34.7,67.3,-17.4,,,2017
504,Florida A&M,MEAC,28,7,92.3,116.7,0.0632,46.5,53.2,18.5,18.9,26.3,34.7,37.6,33.9,44.7,52.5,33.9,36.1,71.2,-20.2,,,2017
505,Hampton,MEAC,29,14,92.0,106.6,0.1552,46.1,49.6,19.6,19.9,30.6,29.3,33.4,42.7,45.0,47.5,32.2,35.6,69.5,-12.5,,,2017
506,Howard,MEAC,32,10,90.0,109.1,0.0981,43.4,49.7,21.5,18.2,32.3,33.3,43.4,35.8,43.3,47.2,29.0,36.0,68.7,-18.0,,,2017
507,Maryland Eastern Shore,MEAC,32,14,96.4,112.7,0.1423,48.4,52.8,18.0,19.3,27.1,33.7,32.5,40.9,46.5,52.2,34.4,35.9,69.8,-13.7,,,2017
508,Morgan St.,MEAC,29,14,91.6,105.6,0.1634,42.5,48.9,19.8,20.1,34.8,31.2,37.8,41.5,42.0,51.7,29.2,28.9,69.2,-13.1,,,2017
509,Norfolk St.,MEAC,32,17,93.5,105.3,0.2027,47.4,48.0,20.5,16.7,29.7,28.9,38.0,38.4,46.1,45.4,33.2,34.7,69.8,-10.9,,,2017
510,North Carolina A&T,MEAC,30,3,95.2,124.0,0.0458,47.6,53.1,21.7,14.3,31.8,32.9,33.4,38.9,47.3,50.1,32.2,38.3,64.6,-25.2,,,2017
511,Savannah St.,MEAC,27,13,99.0,113.9,0.1657,49.5,52.9,17.8,19.3,27.6,35.8,32.3,31.7,52.0,55.9,31.8,32.6,83.3,-11.0,,,2017
512,South Carolina St.,MEAC,29,11,98.0,118.7,0.0995,47.4,54.3,18.0,17.6,28.1,35.8,30.4,39.1,47.1,55.7,32.0,34.4,69.4,-13.1,,,2017
513,Bradley,MVC,32,13,96.5,102.1,0.3409,48.5,48.9,21.9,18.4,26.3,29.4,42.1,40.9,46.1,46.8,35.3,34.7,69.0,-11.2,,,2017
514,Drake,MVC,29,7,102.6,110.0,0.3099,48.1,53.1,17.6,17.6,26.8,31.5,29.1,30.7,45.3,52.0,34.6,36.8,71.0,-15.8,,,2017
515,Evansville,MVC,31,16,105.9,102.2,0.6012,48.8,49.6,17.9,18.5,27.1,27.1,45.8,40.9,47.2,47.9,36.9,34.9,68.0,-8.9,,,2017
516,Illinois St.,MVC,34,28,107.5,92.2,0.8529,51.4,44.0,18.6,19.0,30.4,28.5,29.9,32.6,48.6,41.1,37.0,32.5,66.2,1.8,,,2017
517,Indiana St.,MVC,30,11,98.4,100.5,0.4415,47.8,47.9,17.8,17.8,22.4,29.3,30.8,42.8,45.8,44.2,33.9,37.3,71.1,-11.8,,,2017
518,Loyola Chicago,MVC,30,18,107.3,100.9,0.6691,55.3,51.8,17.3,20.9,20.6,25.8,30.8,33.5,53.5,49.6,38.9,37.3,67.1,-7.2,,,2017
519,Missouri St.,MVC,32,17,108.5,105.3,0.5859,51.0,50.4,18.4,16.2,32.9,24.6,33.8,33.0,48.8,49.2,36.2,35.0,67.4,-8.5,,,2017
520,Northern Iowa,MVC,29,14,96.8,96.6,0.5052,46.7,50.5,17.3,20.9,17.7,28.3,34.2,26.0,45.3,47.6,32.3,36.8,64.7,-6.8,,,2017
521,Southern Illinois,MVC,32,17,102.1,103.1,0.4711,47.7,52.2,17.6,20.3,29.5,31.4,35.4,33.6,47.9,48.2,31.6,39.4,66.8,-7.2,,,2017
522,Air Force,MWC,31,12,103.1,107.3,0.3854,49.8,54.6,17.9,17.5,26.5,24.6,37.4,32.6,47.0,54.4,36.2,36.6,68.4,-14.1,,,2017
523,Boise St.,MWC,31,20,109.1,101.4,0.6986,51.8,48.3,17.9,16.6,27.7,26.5,40.5,41.9,51.5,47.1,34.8,34.2,70.5,-3.2,,,2017
524,Colorado St.,MWC,34,24,108.3,100.2,0.7076,48.3,46.8,16.1,16.9,31.3,28.8,38.2,31.8,46.6,46.6,34.1,31.4,67.8,-2.8,,,2017
525,Fresno St.,MWC,31,20,103.5,96.8,0.6844,50.8,48.5,18.8,20.6,27.2,27.5,40.5,46.2,49.5,47.2,35.6,33.6,69.8,-3.9,,,2017
526,New Mexico,MWC,31,17,105.2,100.7,0.6232,50.2,50.6,18.4,19.0,27.0,27.8,46.0,37.7,50.7,47.5,32.7,36.9,70.4,-5.4,,,2017
527,San Diego St.,MWC,32,19,103.2,93.4,0.7587,47.5,44.8,17.5,19.0,30.5,29.1,35.3,32.4,47.5,42.9,31.6,32.1,66.1,-6.0,,,2017
528,San Jose St.,MWC,28,14,99.7,104.0,0.3794,48.6,51.8,18.2,18.9,24.9,26.1,36.1,40.3,47.7,52.0,33.7,34.3,72.1,-9.0,,,2017
529,UNLV,MWC,32,11,97.4,104.1,0.3186,45.1,51.6,18.0,16.5,28.9,27.5,37.5,28.6,43.5,48.9,32.0,37.8,70.1,-12.6,,,2017
530,Utah St.,MWC,30,15,105.7,103.2,0.5663,52.5,49.2,18.2,15.8,24.9,26.8,35.1,33.7,50.0,47.7,38.0,34.5,68.1,-9.2,,,2017
531,Wyoming,MWC,36,23,104.4,101.4,0.5851,51.6,46.2,17.7,16.2,22.7,27.7,37.5,39.4,50.7,45.7,35.1,31.4,74.2,-7.5,,,2017
532,Bryant,NEC,31,12,100.1,111.6,0.2223,49.7,51.5,18.8,17.6,29.2,30.6,32.8,37.4,49.2,52.1,33.7,33.6,70.5,-14.7,,,2017
533,Central Connecticut,NEC,29,6,92.5,113.3,0.08900000000000001,46.7,54.0,21.2,20.2,31.5,32.5,33.3,34.6,44.6,52.2,35.1,38.0,66.5,-19.6,,,2017
534,Fairleigh Dickinson,NEC,29,11,101.3,111.0,0.2584,49.5,51.8,18.9,19.4,27.4,34.2,36.1,44.0,49.8,51.9,32.7,34.4,70.6,-13.9,,,2017
535,LIU Brooklyn,NEC,31,20,99.3,106.7,0.3027,48.5,49.5,20.9,19.5,36.4,28.9,38.8,37.1,47.0,47.6,34.8,35.4,68.3,-8.7,,,2017
536,Robert Morris,NEC,33,14,91.5,99.0,0.2879,45.1,48.4,21.5,23.7,29.3,31.3,41.3,42.5,43.8,50.0,31.9,29.8,70.2,-13.5,,,2017
537,Sacred Heart,NEC,32,13,97.2,108.4,0.2221,49.5,52.8,22.0,19.5,30.9,27.1,35.0,33.3,49.2,50.5,33.5,37.9,72.7,-15.1,,,2017
538,St. Francis NY,NEC,30,4,86.7,111.6,0.0519,41.0,52.7,17.4,20.0,27.9,33.4,31.8,46.9,40.1,52.2,28.2,36.0,68.5,-22.5,,,2017
539,St. Francis PA,NEC,33,17,101.5,109.1,0.3027,52.8,50.4,20.7,18.7,29.7,32.4,29.6,23.9,50.4,47.3,38.1,36.9,71.4,-11.9,,,2017
540,Wagner,NEC,29,16,99.8,107.6,0.2955,47.6,47.6,21.4,18.5,40.1,30.9,34.7,38.9,47.1,46.0,32.5,33.5,64.4,-10.7,,,2017
541,Austin Peay,OVC,28,11,104.5,116.9,0.2169,52.4,56.4,17.3,17.6,24.2,35.8,41.0,29.5,52.2,56.9,35.2,37.0,71.3,-13.8,,,2017
542,Belmont,OVC,29,23,108.8,103.3,0.6455,55.7,48.3,18.4,16.0,25.6,25.0,29.4,31.9,60.9,48.6,34.1,31.8,69.5,-0.7,,,2017
543,Eastern Illinois,OVC,27,14,99.7,103.7,0.387,47.8,49.7,17.5,21.0,29.5,32.4,26.9,39.3,43.5,47.6,36.6,35.9,70.1,-11.5,,,2017
544,Eastern Kentucky,OVC,29,12,98.2,106.4,0.2844,49.4,51.4,19.8,19.2,25.2,32.9,37.4,40.5,50.1,49.8,32.3,36.2,69.1,-13.3,,,2017
545,Morehead St.,OVC,28,14,105.2,108.3,0.4179,51.0,55.1,18.5,19.4,35.2,28.1,28.8,42.1,48.0,51.8,38.7,40.2,69.8,-10.3,,,2017
546,Murray St.,OVC,31,16,105.4,110.0,0.3803,50.8,52.1,16.9,17.9,31.8,29.6,34.9,38.5,48.5,51.0,36.1,35.9,70.0,-12.0,,,2017
547,SIU Edwardsville,OVC,28,6,94.6,108.7,0.168,45.0,52.7,20.3,18.3,31.6,28.5,45.7,44.9,45.5,54.0,29.2,33.2,70.9,-18.0,,,2017
548,Southeast Missouri St.,OVC,31,15,101.7,108.7,0.3161,51.4,55.3,17.6,21.9,24.7,30.1,35.1,39.0,49.0,55.3,36.8,36.9,69.8,-13.0,,,2017
549,Tennessee Martin,OVC,33,22,105.2,110.3,0.368,52.7,52.6,21.6,19.0,37.4,32.4,34.3,31.1,53.2,52.8,34.7,35.0,69.2,-6.7,,,2017
550,Tennessee St.,OVC,28,17,99.3,98.2,0.5326,48.7,48.5,21.7,21.4,34.2,28.0,39.5,48.7,48.3,45.4,33.1,35.0,68.5,-7.2,,,2017
551,Tennessee Tech,OVC,30,12,97.6,107.0,0.2568,48.1,51.5,19.2,20.4,29.0,30.1,38.5,39.7,47.7,51.1,32.5,34.7,69.7,-14.6,,,2017
552,Arizona St.,P12,33,15,110.9,107.0,0.6007,51.4,55.4,14.3,18.3,24.4,32.2,31.9,29.9,48.7,55.9,36.6,36.4,71.7,-6.3,,,2017
553,California,P12,34,21,103.5,92.5,0.7833,48.1,45.3,18.7,16.6,32.9,24.0,37.7,34.1,46.6,43.4,34.0,32.8,67.0,-0.9,,,2017
554,Colorado,P12,33,19,111.5,102.2,0.7317,50.9,50.3,17.4,17.2,33.0,28.3,37.5,33.9,49.9,47.3,35.1,36.8,69.3,-3.8,,,2017
555,Oregon St.,P12,31,5,96.1,104.2,0.2842,48.2,51.3,23.0,17.5,26.9,32.3,34.3,39.6,46.3,50.0,34.6,35.7,66.3,-16.7,,,2017
556,Stanford,P12,30,14,104.0,98.1,0.6629999999999999,48.3,52.7,18.6,20.6,29.6,27.2,37.3,38.2,48.2,49.1,32.3,38.8,69.8,-5.2,,,2017
557,Utah,P12,30,20,112.4,98.8,0.8163,56.2,49.1,19.2,17.0,30.9,24.5,33.1,31.2,57.4,46.9,36.0,35.6,69.8,-2.3,,,2017
558,Washington,P12,31,9,105.9,105.4,0.5131,50.6,52.8,18.8,16.4,34.9,31.4,30.8,34.7,49.4,49.6,35.4,39.9,72.6,-10.9,,,2017
559,Washington St.,P12,30,13,103.8,104.1,0.4924,52.0,52.8,18.1,14.7,20.0,28.5,27.2,27.9,50.6,52.6,36.6,35.4,69.0,-7.9,,,2017
560,American,Pat,30,8,94.7,107.6,0.1874,50.3,52.5,20.2,20.2,21.7,28.0,30.7,41.4,51.7,51.4,31.8,36.6,66.0,-16.4,,,2017
561,Army,Pat,31,13,97.1,104.3,0.3065,51.5,50.3,20.6,17.3,26.4,24.0,28.0,33.7,50.7,50.1,35.1,33.8,72.7,-13.6,,,2017
562,Boston University,Pat,31,18,100.9,102.9,0.4427,51.2,50.5,20.2,20.7,28.1,28.5,33.4,37.2,50.0,47.5,35.3,36.5,71.1,-8.9,,,2017
563,Colgate,Pat,31,10,97.2,107.5,0.2401,51.4,52.5,22.0,17.3,24.8,25.3,33.4,38.6,49.4,50.0,36.1,37.6,66.5,-16.3,,,2017
564,Holy Cross,Pat,32,15,97.4,102.3,0.3643,50.4,53.3,17.8,25.7,19.4,32.4,34.4,30.4,49.3,54.9,34.5,34.3,61.6,-10.8,,,2017
565,Lafayette,Pat,29,9,95.2,111.9,0.134,49.1,54.5,20.7,18.2,20.0,29.1,29.4,30.4,49.2,52.2,32.6,38.4,71.0,-15.9,,,2017
566,Lehigh,Pat,31,20,105.9,102.5,0.5942,55.4,50.2,19.8,18.6,23.2,24.1,32.0,28.1,53.4,49.0,39.2,34.8,71.0,-6.2,,,2017
567,Loyola MD,Pat,32,16,97.1,103.7,0.3209,46.7,52.2,22.0,21.3,33.0,28.0,39.2,35.9,45.3,53.2,33.2,33.4,67.2,-10.6,,,2017
568,Navy,Pat,31,16,98.5,102.0,0.4023,47.8,53.0,21.9,23.8,36.9,26.2,35.9,38.9,49.0,52.5,30.6,35.8,65.5,-11.2,,,2017
569,Appalachian St.,SB,28,9,99.3,107.5,0.2859,47.4,52.8,19.4,16.9,28.9,27.2,37.1,44.8,46.3,50.5,32.7,39.0,71.7,-14.8,,,2017
570,Arkansas St.,SB,31,20,104.9,102.4,0.5673,51.9,49.2,18.6,18.8,31.0,27.5,41.5,41.8,49.7,49.8,37.7,32.0,68.7,-5.7,,,2017
571,Coastal Carolina,SB,37,20,100.4,104.9,0.3749,48.5,50.3,18.1,16.6,30.5,26.9,29.2,32.6,48.0,49.7,32.7,33.9,69.9,-10.3,,,2017
572,Georgia Southern,SB,31,18,104.4,106.5,0.4424,51.5,51.3,17.0,18.7,25.2,33.0,39.9,34.7,49.2,51.4,36.3,34.1,69.7,-8.0,,,2017
573,Georgia St.,SB,31,20,103.0,99.8,0.5883,53.0,49.0,20.0,19.8,29.9,29.1,33.9,40.0,53.3,49.4,35.0,32.4,69.6,-5.9,,,2017
574,Little Rock,SB,30,15,97.1,104.0,0.3128,49.1,51.8,19.5,19.9,28.4,27.6,32.3,40.3,48.2,50.2,33.8,36.2,64.7,-12.0,,,2017
575,Louisiana Lafayette,SB,31,21,109.8,108.9,0.5225,51.5,54.4,17.9,20.1,36.3,27.8,42.2,37.3,51.5,53.8,34.2,37.1,73.6,-6.4,,,2017
576,Louisiana Monroe,SB,31,9,97.9,105.7,0.2934,47.7,50.5,19.4,16.5,29.5,29.4,26.0,34.0,47.0,49.0,32.5,35.5,66.4,-17.9,,,2017
577,South Alabama,SB,30,14,98.0,105.3,0.3057,48.4,52.2,18.4,22.4,27.2,31.7,38.3,40.4,49.0,51.0,31.7,36.2,71.0,-12.9,,,2017
578,Texas St.,SB,34,22,101.3,100.2,0.5312,50.5,47.7,18.2,19.9,28.2,29.6,36.8,36.1,50.1,47.4,34.1,32.1,63.5,-8.3,,,2017
579,UT Arlington,SB,34,27,108.9,100.4,0.7191,52.5,48.9,18.7,20.1,32.6,29.8,34.6,36.6,54.7,49.4,33.0,32.2,71.8,-1.1,,,2017
580,Chattanooga,SC,29,19,105.3,101.2,0.6113,51.9,50.7,19.8,21.4,31.2,32.7,40.3,37.2,53.3,49.7,33.1,35.3,67.1,-5.5,,,2017
581,Furman,SC,33,23,106.2,100.9,0.6412,54.9,49.4,19.2,19.5,27.2,27.1,32.1,33.7,53.3,50.9,38.1,31.6,67.4,-4.8,,,2017
582,Mercer,SC,30,15,108.5,106.4,0.5569,50.4,50.0,18.0,15.7,33.9,28.4,32.8,35.3,49.6,47.7,34.4,35.3,63.0,-9.9,,,2017
583,Samford,SC,34,20,107.1,106.3,0.5232,53.0,49.8,19.0,17.2,29.4,31.2,41.5,31.8,50.2,49.8,38.9,33.3,69.8,-8.3,,,2017
584,The Citadel,SC,30,12,104.2,115.6,0.2331,49.3,57.9,17.2,19.7,28.0,35.4,32.8,40.9,47.8,57.7,33.9,38.9,81.7,-14.5,,,2017
585,UNC Greensboro,SC,32,25,106.5,103.9,0.5708,52.4,50.2,19.9,19.4,34.3,30.4,30.1,34.8,50.4,47.6,37.0,36.4,68.3,-2.6,,,2017
586,VMI,SC,28,6,96.7,112.4,0.1515,48.1,56.7,18.9,17.9,26.6,32.3,29.5,39.7,48.2,54.2,32.0,40.7,70.1,-17.3,,,2017
587,Western Carolina,SC,30,9,89.2,103.6,0.1532,43.1,52.9,23.2,19.1,31.5,29.0,27.7,46.6,41.9,52.1,30.4,36.0,68.5,-15.2,,,2017
588,Wofford,SC,30,16,108.8,107.4,0.5377,52.7,53.4,17.5,18.0,28.1,28.2,31.9,38.3,49.4,54.6,38.4,34.2,68.0,-9.7,,,2017
589,Alabama,SEC,34,19,104.4,91.8,0.8142,48.2,46.1,20.4,19.8,34.1,26.6,39.1,39.9,48.7,44.2,31.7,33.3,66.6,-1.8,,,2017
590,Auburn,SEC,32,18,112.4,102.5,0.7425,51.1,50.6,17.9,19.9,30.3,33.3,42.5,38.8,48.5,48.7,36.6,35.7,75.2,-2.4,,,2017
591,Georgia,SEC,33,19,107.9,95.9,0.7961,48.1,47.2,18.6,16.7,28.9,28.2,40.7,34.2,48.3,45.4,31.8,33.6,68.5,0.3,,,2017
592,LSU,SEC,31,10,108.3,109.4,0.47100000000000003,50.2,54.6,19.8,16.9,31.2,31.3,31.5,36.9,50.2,52.9,33.6,38.2,73.4,-8.8,,,2017
593,Mississippi,SEC,36,22,110.3,100.3,0.7494,48.8,49.8,19.3,18.8,33.9,30.0,42.8,35.6,46.8,46.7,34.7,36.3,72.7,-1.3,,,2017
594,Mississippi St.,SEC,32,16,104.1,98.3,0.6567,51.1,48.1,19.0,19.7,27.1,30.1,33.9,37.9,50.4,48.6,34.7,31.5,70.2,-5.3,,,2017
595,Missouri,SEC,32,8,101.3,100.0,0.5386,45.2,49.6,16.9,19.2,28.2,30.2,38.7,42.6,45.0,48.3,30.4,34.4,69.7,-12.5,,,2017
596,Tennessee,SEC,31,16,109.3,96.3,0.81,46.8,48.6,17.4,19.3,31.8,30.1,42.9,43.3,46.0,46.2,32.4,35.5,70.8,-2.2,,,2017
597,Texas A&M,SEC,31,16,108.3,95.6,0.8071,51.2,47.2,21.2,17.4,37.4,31.2,33.3,28.1,52.1,43.7,32.9,35.2,65.8,-2.9,,,2017
598,Abilene Christian,Slnd,25,13,97.5,107.5,0.245,52.5,52.8,21.0,21.4,23.0,31.7,34.7,44.3,50.7,52.1,37.1,36.1,67.1,-12.5,,,2017
599,Central Arkansas,Slnd,32,8,102.9,117.5,0.1794,49.8,55.1,19.1,15.7,28.8,31.7,35.9,32.0,46.7,52.2,37.5,39.2,72.4,-17.4,,,2017
600,Houston Baptist,Slnd,27,17,103.9,110.7,0.3266,49.1,53.2,19.3,18.5,35.7,28.6,37.8,38.7,48.6,52.6,33.5,36.2,71.6,-7.7,,,2017
